# date,datetime,fmin,fbEs,ftEs,hEs,foE,hE,foF1,foF2,M3000,hF,hF2,ne_Es,ne_F2
2019-07-02,0:00:03,1.72,nan,nan,nan,nan,nan,nan,4.31,3.44,208.93,nan,nan,22.93345679
2019-07-02,0:15:03,1.87,nan,nan,nan,nan,nan,nan,4.53,3.51,225,nan,nan,25.33444444
2019-07-02,0:30:04,1.76,nan,nan,nan,nan,nan,nan,4.76,3.71,207.14,nan,nan,27.97234568
2019-07-02,0:45:04,1.73,nan,nan,nan,nan,nan,nan,4.04,3.75,194.64,nan,nan,20.15012346
2019-07-02,1:00:04,1.61,nan,nan,nan,nan,nan,nan,3.69,3.44,201.79,nan,nan,16.81
2019-07-02,1:15:04,1.96,nan,nan,nan,nan,nan,nan,3.96,3.35,226.79,nan,nan,19.36
2019-07-02,1:30:04,1.68,nan,nan,nan,nan,nan,nan,3.96,3.77,221.43,nan,nan,19.36
2019-07-02,1:45:04,3.13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019-07-02,2:00:04,1.62,1.78,2.13,98.21,nan,nan,nan,nan,nan,217.86,nan,5.601111111,nan
2019-07-02,2:15:04,1.87,nan,2.05,101.79,nan,nan,nan,nan,nan,nan,nan,5.188271605,nan
2019-07-02,2:30:04,1.64,nan,3.08,100,nan,nan,nan,3.17,3.49,239.29,nan,11.71160494,12.40604938
2019-07-02,2:45:04,1.84,nan,nan,nan,nan,nan,nan,3.05,3.44,226.79,nan,nan,11.4845679
2019-07-02,3:00:04,1.68,nan,nan,nan,nan,nan,nan,3.27,3.42,233.93,nan,nan,13.20111111
2019-07-02,3:15:04,1.62,nan,nan,nan,nan,nan,nan,3.17,nan,228.57,nan,nan,12.40604938
2019-07-02,3:30:04,1.65,nan,nan,nan,nan,nan,nan,3.19,3.55,214.29,nan,nan,12.56308642
2019-07-02,3:45:04,1.96,nan,nan,nan,nan,nan,nan,2.97,3.57,225,nan,nan,10.89
2019-07-02,4:00:05,1.73,nan,nan,nan,nan,nan,nan,2.81,3.55,241.07,nan,nan,9.748271605
2019-07-02,4:15:05,2.01,nan,2.04,101.79,nan,nan,nan,nan,nan,nan,nan,5.137777778,nan
